date,a,i,j,jm,m,p,y,CF,FG,MA,OI,RM,SR,TA,ZC,ag,al,au,cu,hc,pb,rb,ru
20150206,0.987863678,1.014040275,0.983493798,0.976993455,0.988717239,0.94061388,0.947064677,0.98829255,1,0.994148427,1,0.989060324,1.044635777,0.996820281,1,0.944441604,0.992058032,0.982644682,1.048469449,0.999993436,1.00561328,1.034187406,1.035297489
20150209,0.986880344,1.014040275,0.983250058,0.97763681,0.988364151,0.941471691,0.949518739,0.989511745,1,0.992651169,1,0.994956832,1.042586343,1.000023067,1,0.963501705,0.995298391,0.993864937,1.057052029,0.999834604,1.005699285,1.035613036,1.032303595
20150210,0.985869559,1.014040275,0.983291225,0.977473356,0.988625016,0.943278542,0.949669736,0.988360281,1,0.994541351,1,0.989130551,1.046507066,1.006651667,1,0.958904595,0.990594248,0.993375628,1.059420316,0.999834604,1.005672127,1.038010676,1.026280819
20150211,0.98577216,1.014040275,0.983240499,0.977473356,0.984993448,0.943006167,0.949383586,0.988587961,1,0.993379592,1,0.988176394,1.043544602,1.003343866,1,0.958841903,0.983825718,0.992388297,1.053545861,0.999878784,1.006332191,1.036037735,1.027750569
20150212,0.983228098,1.013850218,0.983240499,0.977473356,0.983777753,0.94272453,0.947752173,0.988217151,1,1.002681814,1,0.987791443,1.040114469,1.003757938,1,0.964114586,0.984680687,0.993368445,1.055481085,0.99904034,1.006558494,1.032736185,1.030785436
20150213,0.982215293,1.027085573,0.983841512,0.977985906,0.987933166,0.958675832,0.950761018,0.986368418,1,0.991797664,1,1.00874711,1.037781814,1.009550009,1,0.968982136,0.982271664,0.99268601,1.071014453,1.000059842,1.007648703,1.042524074,1.048999963
20150216,0.983708781,1.026872055,0.983841512,0.977985906,0.99085998,0.961730509,0.949237428,0.986444525,1,0.985913999,1,1.003210475,1.034961092,1.014983886,1,0.962944268,0.981714533,0.989615803,1.067474383,1.001757623,1.007268613,1.034617877,1.04268452
20150217,0.983167615,1.023779619,0.984493253,0.975694757,0.990394165,0.961248318,0.949237428,0.987380283,1,0.986127652,1,1.013581337,1.033831599,1.022237397,1,0.960326603,0.982420442,0.985483589,1.070815633,1.001287367,1.007294621,1.040036343,1.020483003
20150225,1.00200664,1.026653017,0.985108019,0.97164311,0.991067492,0.962746485,0.947805904,0.987065877,1,1.011615918,1,1.016351998,1.037182191,1.019538382,1,0.961444585,0.982329242,0.986857911,1.069334735,1.000392426,1.007118022,1.037877934,1.012091628
20150226,1.002049588,1.026653017,0.98505372,0.971178169,0.990488458,0.965655763,0.947914612,0.985627557,1,1.008596225,1,1.026647447,1.038796602,1.000470275,1,0.961763185,0.981927293,0.983664415,1.077587217,1.000547702,1.007118022,1.042420202,1.005988683
20150227,1.003287698,1.027323826,0.984999604,0.971179984,0.975323177,0.97492047,0.962188423,0.984214815,1,1.008009122,1,1.026287816,1.031006275,1.007317866,1,0.962544877,0.984782831,0.986569958,1.080664142,1.00333339,1.008077532,1.051019126,1.006456788
20150302,1.001204508,1.020713617,0.981971562,0.971179984,0.973984607,0.965363756,0.958942839,0.983466021,1,0.990162419,1,1.018711996,1.029743083,1.004360134,1,0.969700324,0.984771278,0.988705306,1.086285742,1.002375595,1.007962127,1.043501625,0.987385346
20150303,1.000591206,1.020540591,0.981238526,0.971008812,0.983211606,0.971214638,0.961398333,0.983989713,1,0.98246486,1,1.003627219,1.026797941,1.014630868,1,0.975398089,0.984862562,0.992866159,1.09726774,1.001214698,1.007812132,1.037181976,0.968397463
20150304,1.000489628,1.019678659,0.981238526,0.971177915,0.983105099,0.970880111,0.959558355,0.985649074,1,0.969489956,1,0.998518342,1.027991321,1.017125301,1,0.969863467,0.984846846,0.99169727,1.097803894,1.001214698,1.006900503,1.032519495,0.966717621
20150305,1.009868174,1.036654992,0.982271477,0.970839374,0.975998841,0.980101464,0.961200053,0.985496575,1,0.967546632,1,0.998392261,1.022318018,1.051220455,1,0.967539664,0.983909787,0.992129651,1.096928163,1.001069993,1.007649545,1.031270801,0.959172184
20150306,1.008183953,1.036390737,0.980770898,0.970637151,0.979666728,0.97872277,0.956363596,0.98607612,1,0.959456571,1,1.00777908,1.023503658,1.041177274,1,0.970714361,0.985628972,0.990585188,1.094782133,1.000404129,1.007624099,1.032461094,0.966623747
20150309,1.008272054,1.038643797,0.980970785,0.970337813,0.975458852,0.975638538,0.957952447,0.98416364,1,0.983691066,1,1.012195271,1.025284355,1.034220639,1,0.952321855,0.984865696,0.993310885,1.099750876,0.997650145,1.007164012,1.030816138,0.981012009
20150310,1.008663314,1.038643797,0.980656093,0.969316107,0.976933427,0.975981033,0.958969097,0.98406686,1,0.992771694,1,1.008866485,1.029050657,1.035382789,1,0.958047142,0.984172591,0.989444621,1.102706395,0.993380321,1.007111344,1.042468007,0.996589089
20150311,1.010625342,1.039330486,0.979288073,0.969316107,0.983256886,0.976718879,0.957847171,0.983239739,1,0.99032922,1,1.032451343,1.027244306,1.036998776,1,0.956193532,0.983486411,0.986692761,1.102068787,0.993383412,1.007111344,1.046675471,1.007350628
20150312,1.01086724,1.041837336,0.97901186,0.969052393,0.975803121,0.976322819,0.956225471,0.981518506,1,1.0122994,1,1.020998422,1.027626468,1.038721524,1,0.967963998,0.983407926,0.989963161,1.10157772,0.993272139,1.00688341,1.048915184,1.002631123
20150313,1.010632808,1.045460347,0.978781553,0.968592207,0.969979793,0.977361656,0.953395397,0.983011743,1,1.008577879,1,1.023243093,1.023325075,1.046394051,1,0.967398604,0.979238907,0.987744472,1.096707943,0.997358022,1.00689925,1.0537136,1.003932237
20150316,1.011445974,1.045460347,0.976115293,0.968261936,0.963116063,0.966919256,0.95145517,0.983276401,1,0.998623273,1,1.010296423,1.019049517,1.030517968,1,0.969421655,0.977898575,0.987385565,1.102827891,0.997464444,1.006606117,1.063702981,1.000914714
20150317,1.011445974,1.04559305,0.976979576,0.968472421,0.968496925,0.964946082,0.953658038,0.98384168,1,0.982261204,1,1.013208202,1.018112083,1.02141503,1,0.972677293,0.977617979,0.988959945,1.112837049,0.997464444,1.005941023,1.065438151,0.996326132
20150318,1.010561156,1.052220978,0.976447909,0.969523641,0.963243415,0.964946082,0.951984414,0.984154591,1,0.988051568,1,1.011628378,1.023644319,1.0285671,1,0.976712463,0.977628174,0.992600195,1.117918815,0.997645581,1.003817466,1.05322189,0.987758109
20150319,1.009368484,1.043662345,0.976447909,0.969523641,0.959539464,0.973181562,0.952146588,0.977345128,1,0.99644725,1,1.019221276,1.019250235,1.052398378,1,0.999680535,0.974781575,0.996081801,1.107616283,0.99590149,1.004224309,1.04818419,0.989991156
20150320,1.00584528,1.04272751,0.976909117,0.969457302,0.958982945,0.977656855,0.950793401,0.977919708,1,1.001571124,1,1.022943277,1.01950397,1.054380103,1,0.995288066,0.975622884,0.99835791,1.093434522,0.995550522,1.004124117,1.047683759,0.991192907
20150323,1.006782592,1.043539502,0.980011579,0.967549173,0.957583731,0.9877348,0.952462347,0.983917319,1,0.986831526,1,1.025060922,1.018642077,1.048272248,1,1.015213997,0.975093581,0.991863489,1.112417108,0.997187476,1.004599614,1.071047405,1.014627095
20150324,1.000601879,1.04213795,0.980011579,0.967549173,0.956306868,0.983936985,0.948950198,0.984267049,1,0.986551625,1,1.026683415,1.040163196,1.035161527,1,1.013217869,0.973909118,0.988683483,1.103101351,0.997036846,1.000419687,1.072787893,1.007375337
20150325,1.001079448,1.053774802,0.979622491,0.969888568,0.953051789,0.98389902,0.948740727,0.98426428,1,0.99742293,1,1.0221594,1.038508278,1.045525061,1,1.014669483,0.973466659,0.989979502,1.100287953,0.998117966,0.999474573,1.072717171,1.002048408
20150326,0.997432329,1.039669252,0.978914826,0.968695189,0.955985383,0.981483879,0.944580049,0.983724072,1,0.998846262,1,1.028455184,1.035295099,1.034483837,1,1.015213616,0.973499619,0.988867199,1.095546952,0.998117966,0.99933301,1.065014648,0.992006345
20150327,0.993673518,1.024881022,0.979445181,0.964042539,0.95341732,0.982931671,0.943337371,0.979022571,1,1.016405375,1,1.026006218,1.046445638,1.047242229,1,1.017319879,0.972455633,0.987908007,1.099869009,0.99782719,0.99933301,1.08177535,1.013943751
20150330,0.995006565,1.023301768,0.964097092,0.972284605,0.952830509,0.974075174,0.949979352,0.979022571,1,1.006884915,1,1.01999723,1.053074178,1.034186885,1,1.020916256,0.972110367,0.984998244,1.103813942,0.995764577,0.999390535,1.079135457,1.003899764
20150331,0.994900816,1.013439851,0.96349604,0.971932776,0.951928682,0.975449301,0.942569659,0.97932962,1,1.01000619,1,1.023083699,1.051281187,1.02741637,1,1.018768044,0.973061599,0.985072308,1.112270528,0.995885968,0.998205219,1.066487361,1.001328464
20150401,0.994660726,1.012564648,0.96349604,0.971932776,0.967366221,0.970023166,0.940012395,0.975583097,1,1.01583614,1,1.0500647,1.047343082,1.022603254,1,1.014671085,0.972452328,0.981846845,1.110086605,0.994129436,0.99792603,1.053366065,1.006715492
20150402,0.994409973,1.010876702,0.967635443,0.971295175,0.966086022,0.969789239,0.934514871,0.970932925,1,1.014889925,1,1.046817817,1.046547817,1.024418138,1,1.006910325,0.972442487,0.992319887,1.115451198,0.995719633,0.995815056,1.039005771,1.012874899
20150403,0.994582955,1.027406158,0.965569256,0.971295175,0.966221684,0.966123881,0.933082583,0.976002598,1,1.009194513,1,1.04121807,1.051759018,1.020407331,1,1.009440555,0.972377336,0.992428559,1.115776951,0.996392432,0.994544476,1.036317933,1.006837924
20150407,0.994582955,1.021795435,0.964199136,0.971154359,0.964612989,0.964059386,0.93247095,0.975980941,1,1.007641463,1,1.040558496,1.051979814,1.019878825,1,1.007174804,0.972376643,0.991047154,1.114878282,0.997024867,0.994614037,1.039072602,1.00457223
20150408,0.994255198,1.018209171,0.965337556,0.964855033,0.959000351,0.963268021,0.929133817,0.976809978,1,1.007254472,1,1.026937794,1.064279494,1.012263376,1,1.00581385,0.972334323,0.987951683,1.113823777,1.003581878,0.993179186,1.015018282,0.993709339
20150409,0.9940467,1.026250979,0.965283064,0.964002644,0.955778933,0.96769565,0.928539349,0.977868392,1,1.007020477,1,1.040962099,1.067860405,1.022168656,1,1.021933352,0.962401507,0.99576007,1.109776731,1.003414239,0.993828091,1.01498836,0.966844389
20150410,0.9940467,1.025886308,0.967237906,0.964027119,0.946456179,0.964649497,0.926685264,0.97560143,1,1.003113526,1,1.04219064,1.077060584,1.03742678,1,1.022455887,0.962322049,0.995412893,1.108683052,1.003130328,1.019758001,1.011491792,0.966739871
20150413,0.993799491,1.054575417,0.984420856,0.978674574,0.942723917,0.964649497,0.920658681,0.974398265,1,1.016532238,1,1.04552143,1.065763984,1.038330704,1,1.019216574,0.966914655,0.992465128,1.104050077,1.006963247,1.01624002,1.034052998,0.960474868
20150414,1.000716577,1.053517507,0.983902465,0.978532315,0.93979637,0.96909632,0.920400162,0.969681351,1,1.019121901,1,1.040414785,1.063155531,1.060864456,1,1.006352382,0.965954082,0.996466029,1.10960879,1.004502979,1.015389655,1.024588868,0.947904109
20150415,0.999785151,1.070992884,0.986774892,0.978532315,0.941147045,0.965313521,0.928876947,0.970935722,1,1.011313837,1,1.038718452,1.061762033,1.034802239,1,1.001491431,0.965895726,0.994015544,1.116527921,1.007215839,1.023485807,1.032518313,0.943739442
